,airport_id,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TzDatabase,Type,Source
5166,6783,Sinop Airport,Sinop,Turkey,NOP,LTCM,42.015800476074,35.066398620605,20,3,E,Europe/Istanbul,airport,OurAirports
5167,6784,Tekirdağ Çorlu Airport,Çorlu,Turkey,TEQ,LTBU,41.13819885253906,27.919099807739254,574,3,E,Europe/Istanbul,airport,OurAirports
5171,6788,Vieques Airport,Vieques Island,Puerto Rico,VQS,TJCG,18.1158008575,-65.4226989746,19,-4,U,America/Puerto_Rico,airport,OurAirports
5172,6789,St Augustin Airport,St-Augustin,Canada,YIF,CYIF,51.2117004395,-58.6582984924,20,-4,A,America/Blanc-Sablon,airport,OurAirports
5173,6790,Hamadan Airport,Hamadan,Iran,HDM,OIHH,34.86920166015625,48.5525016784668,5755,3.5,E,Asia/Tehran,airport,OurAirports
5175,6792,Grafton Airport,Grafton,Australia,GFN,YGFN,-29.7593994140625,153.02999877929688,110,10,U,Australia/Sydney,airport,OurAirports
5176,6793,Orange Airport,Orange,Australia,OAG,YORG,-33.3816986084,149.132995605,3115,10,U,Australia/Sydney,airport,OurAirports
5177,6794,Taree Airport,Taree,Australia,TRO,YTRE,-31.8885993958,152.51400756799998,38,10,U,Australia/Sydney,airport,OurAirports
5178,6795,Choibalsan Airport,Choibalsan,Mongolia,COQ,ZMCD,48.13570022583008,114.64600372314452,2457,8,U,Asia/Ulaanbaatar,airport,OurAirports
5182,6800,Delta County Airport,Escanaba,United States,ESC,KESC,45.7226982117,-87.0936965942,609,-5,A,America/New_York,airport,OurAirports
5183,6803,Yakutat Airport,Yakutat,United States,YAK,PAYA,59.503299713100006,-139.660003662,33,-9,A,America/Anchorage,airport,OurAirports
5189,6814,Benjamin Rivera Noriega Airport,Culebra Island,Puerto Rico,CPX,TJCP,18.313289,-65.304324,49,-4,U,America/Puerto_Rico,airport,OurAirports
5194,6825,Williamson County Regional Airport,Marion,United States,MWA,KMWA,37.75500107,-89.01110077,472,-6,A,America/Chicago,airport,OurAirports
5201,6837,Ford Airport,Iron Mountain,United States,IMT,KIMT,45.8184013367,-88.11450195309999,1182,-6,A,America/Chicago,airport,OurAirports
5203,6839,Allakaket Airport,Allakaket,United States,AET,PFAL,66.5518035889,-152.621994019,441,-9,A,America/Anchorage,airport,OurAirports
